itemId,order_orderId,productName,quantity,unitPrice,lineTotal
010,SA1000,Laptop Pro,2,1200.00,2400.00
020,SA1000,USB-C Cable,5,15.00,75.00
010,SA1001,Office Chair,10,200.00,2000.00
020,SA1001,Desk Lamp,8,55.00,440.00
030,SA1001,Monitor 27",2,490.00,980.00
010,SA1002,Keyboard Mechanical,3,120.00,360.00
020,SA1002,Mouse Wireless,4,45.00,180.00
030,SA1002,USB Hub,2,60.00,120.00
040,SA1002,Screen Protector,10,12.00,120.00
010,SA1003,Server Rack,1,8000.00,8000.00
020,SA1003,Network Switch,2,2000.00,4000.00
010,SA1004,Software License,5,800.00,4000.00
020,SA1004,Support Package,1,1670.00,1670.00
010,SA1005,Printer Laser,1,890.00,890.00
010,SA1006,Cloud Storage TB/Year,100,150.00,15000.00
020,SA1006,Backup Service,1,8400.00,8400.00
010,SA1007,Workstation PC,2,2000.00,4000.00
020,SA1007,Monitor 30",1,500.00,500.00
010,SA1008,Tablet,5,800.00,4000.00
020,SA1008,Tablet Stand,5,100.00,500.00
030,SA1008,Stylus Pen,5,72.00,360.00
040,SA1008,Screen Protector,10,8.00,80.00
010,SA1009,Smartphone,1,990.00,990.00
010,SA1010,3D Printer,1,5500.00,5500.00
020,SA1010,Filament Spool,5,140.00,700.00
030,SA1010,Cleaning Kit,2,75.00,150.00
040,SA1010,Maintenance Kit,1,900.00,900.00
010,SA1011,Enterprise Software,1,15000.00,15000.00
020,SA1011,Training Course,1,2600.00,2600.00
010,SA1012,Router WiFi 6,2,1200.00,2400.00
020,SA1012,Network Adapter,3,240.00,720.00
010,SA1013,Data Center Services,1,35000.00,35000.00
020,SA1013,Monitoring Tools,1,9900.00,9900.00
010,SA1014,Projector 4K,1,5000.00,5000.00
020,SA1014,Projection Screen,1,2000.00,2000.00
030,SA1014,Ceiling Mount,1,340.00,340.00
